transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,product_category,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating
TRX6781607,2023-06-26,63092,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,3.9,Amy Olson,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",M01AB,906500,0.01,30,897435.0,269230.5,4.5
TRX5081492,2023-08-13,27440,Kimia Farma - Klinik & Apotek,Purwokerto,Jawa Tengah,4.1,Melissa Martin,KF492,"Psycholeptics drugs, Hypnotics and sedatives drugs",N02BE/B,751900,0.14,30,646634.0,193990.19999999998,3.6
TRX7773518,2021-09-24,68228,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.7,Valerie Miller,KF607,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",R06,923700,0.04,30,886752.0,266025.6,3.3
TRX7016099,2023-12-14,48161,Kimia Farma - Klinik-Apotek-Laboratorium,Tarakan,Kalimantan Utara,4.5,Elizabeth Kaiser,KF775,"Psycholeptics drugs, Hypnotics and sedatives drugs",N05B,391700,0.08,25,360364.0,90091.0,4.0
TRX8320546,2021-08-25,78631,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.3,Jennifer Thompson,KF374,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",R03,867500,0.01,30,858825.0,257647.5,3.5
TRX8638233,2023-09-26,71419,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,4.6,Justin Knight,KF731,"Psycholeptics drugs, Hypnotics and sedatives drugs",N05C,78800,0.13,15,68556.0,10283.4,4.1
TRX2062324,2022-06-01,61197,Kimia Farma - Klinik & Apotek,Samarinda,Kalimantan Timur,4.5,Christopher Clayton,KF236,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",R03,417300,0.02,25,408954.0,102238.5,4.1
TRX1151349,2023-05-08,93047,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,3.9,Nicole Harvey,KF134,Antihistamines for systemic use,N02BE/B,832800,0.08,30,766176.0,229852.8,4.8
TRX2851662,2023-12-10,73596,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,4.8,Rachel Stein,KF400,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",M01AB,359500,0.03,25,348715.0,87178.75,4.0
TRX7687211,2021-06-15,99997,Kimia Farma - Klinik-Apotek-Laboratorium,Pariaman,Sumatera Barat,4.6,Cameron Chavez,KF540,"Other analgesics and antipyretics, Salicylic acid and derivatives",R03,744200,0.09,30,677222.0,203166.6,3.5
TRX1982845,2023-11-19,70971,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.8,Pamela Walter,KF576,"Other analgesics and antipyretics, Salicylic acid and derivatives",M01AE,353300,0.1,25,317970.0,79492.5,4.8
TRX4505033,2022-06-29,61959,Kimia Farma - Klinik & Apotek,Jambi,Jambi,4.9,Dean Green,KF400,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",M01AB,359500,0.09,25,327145.0,81786.25,4.6
TRX2688192,2023-06-12,42692,Kimia Farma - Klinik & Apotek,Banjarmasin,Kalimantan Selatan,4.5,Alexander Cabrera,KF310,Antihistamines for systemic use,R06,868800,0.01,30,860112.0,258033.59999999998,4.9
TRX4664865,2020-03-23,63092,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,3.9,Julie Robinson,KF395,Drugs for obstructive airway diseases,N02BA,755400,0.02,30,740292.0,222087.6,4.9
TRX3587578,2022-10-20,65969,Kimia Farma - Apotek,Garut,Jawa Barat,4.4,Teresa Johnson,KF741,"Psycholeptics drugs, Hypnotics and sedatives drugs",N05C,464900,0.08,25,427708.0,106927.0,3.6
TRX6177816,2022-09-01,56847,Kimia Farma - Klinik & Apotek,Surabaya,Jawa Timur,4.8,Rebecca Pollard,KF519,"Other analgesics and antipyretics, Pyrazolones and Anilides",M01AE,626400,0.05,30,595080.0,178524.0,5.0
TRX8812508,2020-04-22,66696,Kimia Farma - Klinik-Apotek-Laboratorium,Denpasar,Bali,4.0,Terry Smith,KF492,"Psycholeptics drugs, Hypnotics and sedatives drugs",N02BE/B,751900,0.04,30,721824.0,216547.19999999998,3.7
TRX8249348,2021-11-20,20073,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4.0,Seth Delacruz,KF775,"Psycholeptics drugs, Hypnotics and sedatives drugs",N05B,391700,0.05,25,372115.0,93028.75,4.2
TRX4546558,2022-03-07,83075,Kimia Farma - Klinik & Apotek,Semarang,Jawa Tengah,4.3,Joshua Daugherty,KF574,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",N05B,467000,0.07,25,434310.0,108577.5,3.8
TRX5856871,2021-06-22,22360,Kimia Farma - Klinik-Apotek-Laboratorium,Pangkalpinang,Bangka Belitung,4.5,Dana Taylor,KF990,"Psycholeptics drugs, Anxiolytic drugs",N05C,565100,0.12,30,497288.0,149186.4,4.8
TRX1129700,2021-09-05,88340,Kimia Farma - Klinik-Apotek-Laboratorium,Tarakan,Kalimantan Utara,4.4,Summer Fuentes,KF943,"Other analgesics and antipyretics, Salicylic acid and derivatives",N05B,5500,0.07,10,5115.0,511.5,4.0
TRX8542228,2022-05-08,30178,Kimia Farma - Klinik-Apotek-Laboratorium,Karawang,Jawa Barat,4.8,Ryan Brooks,KF298,"Psycholeptics drugs, Hypnotics and sedatives drugs",R06,532600,0.07,30,495317.99999999994,148595.39999999997,3.9
TRX3062590,2022-06-05,64892,Kimia Farma - Klinik-Apotek-Laboratorium,Bima,Nusa Tenggara Barat,4.9,Larry Stewart,KF601,"Psycholeptics drugs, Anxiolytic drugs",N02BE/B,512000,0.08,30,471040.0,141312.0,3.4
TRX7345601,2023-07-20,14621,Kimia Farma - Klinik & Apotek,Kupang,Nusa Tenggara Timur,4.6,Kristen Garza,KF294,Antihistamines for systemic use,M01AE,455900,0.14,25,392074.0,98018.5,3.8
TRX3462161,2022-04-16,65138,Kimia Farma - Apotek,Lubuklinggau,Sumatera Selatan,4.5,Heather Smith,KF708,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",N02BA,580100,0.01,30,574299.0,172289.69999999998,3.0
TRX2504443,2021-06-06,75963,Kimia Farma - Klinik & Apotek,Padang Sidempuan,Sumatera Utara,4.1,Roberto Marsh,KF568,"Psycholeptics drugs, Anxiolytic drugs",N02BA,123200,0.01,20,121968.0,24393.600000000002,4.6
TRX1269183,2020-05-07,41749,Kimia Farma - Apotek,Deli Serdang,Sumatera Utara,5.0,Shelby Tucker,KF968,"Psycholeptics drugs, Anxiolytic drugs",M01AB,412100,0.04,25,395616.0,98904.0,4.1
TRX1251186,2021-01-29,28053,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.1,Alicia Torres,KF696,"Other analgesics and antipyretics, Pyrazolones and Anilides",R06,125100,0.13,20,108837.0,21767.4,3.4
TRX5907720,2021-03-03,78158,Kimia Farma - Apotek,Palu,Sulawesi Tengah,4.1,Holly Peck,KF540,"Other analgesics and antipyretics, Salicylic acid and derivatives",R03,744200,0.08,30,684664.0,205399.19999999998,4.5
TRX5580007,2021-03-04,35596,Kimia Farma - Klinik-Apotek-Laboratorium,Denpasar,Bali,4.7,Patricia Dean,KF891,Antihistamines for systemic use,N02BA,614200,0.09,30,558922.0,167676.6,3.4
TRX9971521,2022-05-09,93657,Kimia Farma - Klinik & Apotek,Purwakarta,Jawa Barat,4.2,Adam Nunez,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",M01AB,906500,0.0,30,906500.0,271950.0,4.9
TRX9363106,2020-03-26,79763,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,4.7,Denise Fowler,KF925,"Psycholeptics drugs, Anxiolytic drugs",R06,876600,0.05,30,832770.0,249831.0,3.4
TRX4288776,2022-07-04,21097,Kimia Farma - Klinik-Apotek-Laboratorium,Surabaya,Jawa Timur,5.0,Sarah Walker,KF178,"Other analgesics and antipyretics, Pyrazolones and Anilides",R06,877500,0.03,30,851175.0,255352.5,4.0
TRX3189391,2023-07-06,46146,Kimia Farma - Klinik & Apotek,Tomohon,Sulawesi Utara,4.7,Nancy Webster,KF874,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",N05C,361400,0.03,25,350558.0,87639.5,3.4
TRX2288634,2021-07-30,83104,Kimia Farma - Klinik & Apotek,Bima,Nusa Tenggara Barat,5.0,Joseph Hammond,KF260,"Other analgesics and antipyretics, Pyrazolones and Anilides",N05C,118700,0.0,20,118700.0,23740.0,4.9
TRX7145015,2021-12-13,87969,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.4,Michael Jacobs,KF933,"Psycholeptics drugs, Anxiolytic drugs",R03,86500,0.07,15,80445.0,12066.75,4.1
TRX3972401,2021-07-06,98581,Kimia Farma - Apotek,Subang,Jawa Barat,4.5,Debra Delgado,KF313,"Psycholeptics drugs, Anxiolytic drugs",R06,503300,0.13,30,437871.0,131361.3,4.6
